"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.78907994811115,0.726,0.152,0,"0","GIMAP7"
0,2.76158366593781,0.592,0.101,0,"0","CD3D"
0,3.24586116363375,0.578,0.091,0,"0","IL7R"
3.38910591938169e-297,3.24537510446314,0.362,0.043,6.20375838542819e-293,"0","TCF7"
7.32298131313642e-263,3.25558178815413,0.405,0.051,1.34047172936962e-258,"0","ZAP70"
9.0406262037404e-216,3.07802883251747,0.285,0.029,1.65488662659468e-211,"0","LEF1"
5.10831987642481e-201,2.82470517891772,0.358,0.061,9.35077953379562e-197,"0","KCNA3"
1.79034552689797e-178,3.35854957079484,0.259,0.024,3.27722748698674e-174,"0","ITK"
2.8914444154861e-177,3.59254859880641,0.251,0.023,5.2927890025473e-173,"0","ITM2A"
4.08412365690073e-154,2.77531967290947,0.328,0.047,7.47598835395679e-150,"0","SPOCK2"
0,6.36926645210403,0.669,0.032,0,"1","CAMP"
0,7.49792873007553,0.611,0.008,0,"1","CD177"
0,6.69864649928002,0.542,0.016,0,"1","VNN2"
3.51799122534444e-275,7.64983886811793,0.487,0.006,6.439682937993e-271,"1","LCN2"
1.74076285223081e-223,7.69238574422994,0.404,0.005,3.18646640100849e-219,"1","ENSMMUG00000031200"
8.21761201368308e-182,7.86109456157442,0.373,0.002,1.50423387910469e-177,"1","OLFM4"
2.99308485751386e-149,7.51935056331369,0.304,0.003,5.47884183167912e-145,"1","MMP9"
6.73217003269985e-92,8.71082342997819,0.341,0.002,1.23232372448571e-87,"1","MMP8"
6.52118519974103e-81,8.90549190334253,0.252,0.001,1.1937029508126e-76,"1","LTF"
1.11986583173975e-68,8.35460264280878,0.254,0.001,2.04991440499962e-64,"1","HP"
0,5.48314646385707,0.803,0.043,0,"2","MS4A1"
0,5.33706562585278,0.577,0.021,0,"2","CD19"
0,4.01503562111311,0.613,0.061,0,"2","BANK1"
0,4.79871272622159,0.558,0.032,0,"2","CD79B"
0,5.24475520613905,0.459,0.027,0,"2","CD79A"
3.87937508573817e-184,4.67966239991781,0.263,0.01,7.10119609444371e-180,"2","CD22"
2.31303358037032e-178,4.00091130982829,0.47,0.041,4.23400796886787e-174,"2","MAMU-DMB"
1.95560214667641e-172,3.86770721009904,0.425,0.043,3.57972972949117e-168,"2","MEF2C"
5.45890470446517e-143,4.02493215301922,0.511,0.05,9.9925250615235e-139,"2","HLA-DQA1"
1.0868773538773e-141,3.63369720182238,0.292,0.038,1.9895289962724e-137,"2","RALGPS2"
8.12150538240398e-235,9.72472499345026,0.772,0.002,1.48664156024905e-230,"3","ENSMMUG00000018060"
9.32747360536253e-218,9.61966447693905,0.614,0.002,1.70739404346161e-213,"3","COL5A2"
1.25711429419266e-157,9.42842076461075,0.551,0.002,2.30114771551966e-153,"3","ENSMMUG00000000218"
5.65227099414074e-119,9.61666047685016,0.537,0.001,1.03464820547746e-114,"3","CYR61"
2.60095839420229e-98,9.63412330537168,0.514,0.001,4.76105434058729e-94,"3","CAV1"
1.8681220348909e-94,10.9417369480838,0.494,0.001,3.4195973848678e-90,"3","ENSMMUG00000044393"
1.2765022407116e-67,9.62069965793733,0.322,0.001,2.33663735162259e-63,"3","PLS3"
7.8236447355272e-64,9.41089963208807,0.351,0.001,1.43211816883825e-59,"3","ENSMMUG00000046204"
8.62055438564321e-63,9.5279531739884,0.277,0.001,1.57799248029199e-58,"3","ENSMMUG00000007216"
6.17927888335015e-32,10.4850724211727,0.347,0,1.13111699959724e-27,"3","ENSMMUG00000039956"
0,5.76193826647218,0.751,0.077,0,"4","LYZ"
0,5.6863559056236,0.56,0.021,0,"4","KLF4"
2.57015467941614e-230,5.88210502962989,0.391,0.007,4.70466814067125e-226,"4","TGFBI"
2.24911919705812e-205,4.86209333320873,0.393,0.017,4.1170126902149e-201,"4","IL1B"
6.05933171224532e-205,5.27499523823433,0.698,0.076,1.10916066992651e-200,"4","CFD"
1.46043404490406e-185,6.73052314857655,0.346,0.004,2.67332451919687e-181,"4","VMO1"
3.96208411335972e-160,6.68259650398531,0.307,0.003,7.25259496950497e-156,"4","CPVL"
4.08518387151473e-151,5.36077709882283,0.296,0.005,7.47792907680772e-147,"4","ALDH1A1"
4.69130307298554e-121,5.23261242048561,0.397,0.018,8.58743027510004e-117,"4","LRP1"
7.89920908705233e-87,7.51383608260784,0.278,0.001,1.44595022338493e-82,"4","ENSMMUG00000045411"
5.13959054428137e-93,6.1520364218797,0.348,0.004,9.40802049130705e-89,"5","HIST1H1B"
7.32463088103942e-91,6.73084176174246,0.483,0.011,1.34077368277427e-86,"5","GZMA"
9.1345885615899e-91,6.46678665699316,0.289,0.002,1.67208643619903e-86,"5","TK1"
2.8970577091401e-74,5.21713103007867,0.274,0.009,5.30306413658095e-70,"5","ENSMMUG00000047568"
1.52775937004671e-66,5.13582572163114,0.323,0.016,2.79656352687051e-62,"5","MZB1"
1.62348075154537e-61,9.25494877386438,0.259,0.001,2.9717815157038e-57,"5","ZBED2"
1.29339818403495e-59,4.69357273262891,0.328,0.008,2.36756537587597e-55,"5","KIFC1"
1.78650284229006e-58,4.80187106237449,0.338,0.022,3.27019345281196e-54,"5","ENSMMUG00000043108"
3.73097682171654e-45,5.43586925115673,0.756,0.04,6.82955307215212e-41,"5","MKI67"
1.50608933971188e-30,5.03111326247516,0.383,0.016,2.75689653634259e-26,"5","RRM2"
